ENTREZ_GENE_ID,Name,Species,,,
101749307,uncharacterized LOC101749307(LOC101749307),Gallus gallus,,,
416746,CDC42 binding protein kinase alpha (DMPK-like)(CDC42BPA),Gallus gallus,,,
395862,paired-like homeodomain 2(PITX2),Gallus gallus,,,
427657,cytochrome P450, family 2, subfamily AC, polypeptide 7(CYP2AC7),Gallus gallus
416507,RAS, dexamethasone-induced 1(RASD1),Gallus gallus,,
101752011,uncharacterized LOC101752011(LOC101752011),Gallus gallus,,,
422711,B-cell scaffold protein with ankyrin repeats 1(BANK1),Gallus gallus,,,
426213,ciliogenesis associated TTC17 interacting protein(CATIP),Gallus gallus,,,
100857277,sarcolipin(SLN),Gallus gallus,,,
100857480,FEV, ETS transcription factor(FEV),Gallus gallus,,
107054343,uncharacterized LOC107054343(LOC107054343),Gallus gallus,,,
396109,forkhead box D1(FOXD1),Gallus gallus,,,
422717,radial spoke head 4 homolog A (Chlamydomonas)(RSPH4A),Gallus gallus,,,
107056112,cytochrome b5 reductase 4-like(LOC107056112),Gallus gallus,,,
101749560,uncharacterized LOC101749560(LOC101749560),Gallus gallus,,,
101749017,platelet binding protein GspB-like(LOC101749017),Gallus gallus,,,
429572,olfactory receptor, family 14, subfamily L, member 1 pseudogene(OR14L1P),Gallus gallus
374269,tumor protein p63(TP63),Gallus gallus,,,
427430,C1q and tumor necrosis factor related protein 3(C1QTNF3),Gallus gallus,,,
418089,stabilin 2(STAB2),Gallus gallus,,,
420754,neuronal differentiation 6(NEUROD6),Gallus gallus,,,
107054901,uncharacterized LOC107054901(LOC107054901),Gallus gallus,,,
396319,melatonin receptor 1A(MTNR1A),Gallus gallus,,,
101748797,uncharacterized LOC101748797(LOC101748797),Gallus gallus,,,
416949,ureidopropionase, beta(UPB1),Gallus gallus,,
107057044,uncharacterized LOC107057044(LOC107057044),Gallus gallus,,,
426456,uncharacterized LOC426456(LOC426456),Gallus gallus,,,
395592,tyrosine hydroxylase(TH),Gallus gallus,,,
374208,protein tyrosine phosphatase, receptor type, G(PTPRG),Gallus gallus,
428114,hemoglobin beta, subunit H(HBBH),Gallus gallus,,
768977,empty spiracles homeobox 1(EMX1),Gallus gallus,,,
107053183,uncharacterized LOC107053183(LOC107053183),Gallus gallus,,,
107051553,swi5-dependent recombination DNA repair protein 1 homolog(LOC107051553),Gallus gallus,,,
101749026,cleavage and polyadenylation specificity factor subunit 1-like(LOC101749026),Gallus gallus,,,
424116,phosphodiesterase 1A, calmodulin-dependent(PDE1A),Gallus gallus,,
107055593,uncharacterized LOC107055593(LOC107055593),Gallus gallus,,,
101752057,olfactory receptor 14C36-like(LOC101752057),Gallus gallus,,,
101752301,uncharacterized LOC101752301(LOC101752301),Gallus gallus,,,
418056,myoglobin(MB),Gallus gallus,,,
107049917,uncharacterized LOC107049917(LOC107049917),Gallus gallus,,,
107054594,uncharacterized LOC107054594(LOC107054594),Gallus gallus,,,
107056315,uncharacterized LOC107056315(LOC107056315),Gallus gallus,,,
107051568,uncharacterized LOC107051568(LOC107051568),Gallus gallus,,,
420785,protein disulfide isomerase family A member 4(PDIA4),Gallus gallus,,,
101749253,uncharacterized LOC101749253(LOC101749253),Gallus gallus,,,
107049100,small cell adhesion glycoprotein-like(LOC107049100),Gallus gallus,,,
771495,transmembrane protein 82(TMEM82),Gallus gallus,,,
107049447,uncharacterized LOC107049447(LOC107049447),Gallus gallus,,,
107057445,ubiquitin conjugation factor E4 A-like(LOC107057445),Gallus gallus,,,
100049618,Fc fragment of IgE receptor Ig(FCER1G),Gallus gallus,,,
107049202,heterogeneous nuclear ribonucleoprotein U like 1(HNRNPUL1),Gallus gallus,,,
404536,adiponectin, C1Q and collagen domain containing(ADIPOQ),Gallus gallus,,
107054403,uncharacterized LOC107054403(LOC107054403),Gallus gallus,,,
107049691,dapper homolog 3-like(LOC107049691),Gallus gallus,,,
431568,family with sequence similarity 81, member B(FAM81B),Gallus gallus,,
101747406,protein phosphatase 1, regulatory subunit 3A(PPP1R3A),Gallus gallus,,
418175,serine/threonine kinase receptor associated protein(STRAP),Gallus gallus,,,
416676,family with sequence similarity 40, member B(FAM40B),Gallus gallus,,
100858624,potassium voltage-gated channel subfamily E member 1-like protein-like(LOC100858624),Gallus gallus,,,
107056875,FYVE, RhoGEF and PH domain-containing protein 5-like(LOC107056875),Gallus gallus,,
107056582,uncharacterized LOC107056582(LOC107056582),Gallus gallus,,,
427260,glucosaminyl (N-acetyl) transferase 1, core 2(GCNT1),Gallus gallus,,
107049940,maestro heat-like repeat-containing protein family member 1(LOC107049940),Gallus gallus,,,
100857319,shisa family member 3(SHISA3),Gallus gallus,,,
100859737,tubulin alpha-1A chain-like(LOC100859737),Gallus gallus,,,
423476,exocyst complex component 3 like 4(EXOC3L4),Gallus gallus,,,
107049947,TERF1 (TRF1)-interacting nuclear factor 2(TINF2),Gallus gallus,,,
776127,adenylosuccinate synthase like 1(ADSSL1),Gallus gallus,,,
424678,cytochrome P450, family 2, subfamily J, polypeptide 20(CYP2J20),Gallus gallus
395578,nescient helix loop helix 2(NHLH2),Gallus gallus,,,
426652,actin, beta-like 2(ACTBL2),Gallus gallus,,
425103,family with sequence similarity 83, member D(FAM83D),Gallus gallus,,
396379,3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble)(HMGCS1),Gallus gallus,,,
417253,glutamine synthetase-like(LOC417253),Gallus gallus,,,
423433,serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 4(SERPINA4),Gallus gallus
422257,NADPH oxidase 1(NOX1),Gallus gallus,,,
100859509,uncharacterized LOC100859509(LOC100859509),Gallus gallus,,,
101751286,uncharacterized LOC101751286(LOC101751286),Gallus gallus,,,
101747432,uncharacterized LOC101747432(LOC101747432),Gallus gallus,,,
373905,brain abundant membrane attached signal protein 1(BASP1),Gallus gallus,,,
420838,CD83 molecule(CD83),Gallus gallus,,,
403120,interferon, alpha-inducible protein 6(IFI6),Gallus gallus,,
107054190,uncharacterized LOC107054190(LOC107054190),Gallus gallus,,,
428009,OCA2 melanosomal transmembrane protein(OCA2),Gallus gallus,,,
107053372,uncharacterized LOC107053372(LOC107053372),Gallus gallus,,,
107052057,uncharacterized LOC107052057(LOC107052057),Gallus gallus,,,
107057160,dual specificity mitogen-activated protein kinase kinase 4-like(LOC107057160),Gallus gallus,,,
107055765,UDP-glucose:glycoprotein glucosyltransferase 2-like(LOC107055765),Gallus gallus,,,
