ENTREZ_GENE_ID,Name,Species,Notes
417942,endoplasmic reticulum protein 27(ERP27),Gallus gallus,
101751319,uncharacterized LOC101751319(LOC101751319),Gallus gallus,
427378,hemogen(HEMGN),Gallus gallus,
107054529,uncharacterized LOC107054529(LOC107054529),Gallus gallus,
107050759,PIH1 domain-containing protein 1-like(LOC107050759),Gallus gallus,
396532,"solute carrier family 4, (SLC4A1)",Gallus gallus,
395935,vitronectin(VTN),Gallus gallus,
101750862,uncharacterized LOC101750862(LOC101750862),Gallus gallus,
424018,prolactin releasing hormone(PRLH),Gallus gallus,
427584,collagen,Gallus gallus,
107055116,atrial natriuretic peptide receptor 1-like(LOC107055116),Gallus gallus,
419741,uncharacterized LOC419741(LOC419741),Gallus gallus,
418020,family with sequence similarity 20,Gallus gallus,
107056739,uncharacterized LOC107056739(LOC107056739),Gallus gallus,
775974,cytochrome c oxidase subunit 8A(COX8A),Gallus gallus,
100857191,c-C motif chemokine 26-like(LOC100857191),Gallus gallus,
396512,FBJ murine osteosarcoma viral oncogene homolog(FOS),Gallus gallus,
107057325,nuclear receptor coactivator 5-like(LOC107057325),Gallus gallus,
420209,carbonic anhydrase III-like(LOC420209),Gallus gallus,
101747290,uncharacterized LOC101747290(LOC101747290),Gallus gallus,
107051732,uncharacterized LOC107051732(LOC107051732),Gallus gallus,
396176,cysteine and glycine-rich protein 1(CSRP1),Gallus gallus,
107051739,uncharacterized LOC107051739(LOC107051739),Gallus gallus,
770905,"protein tyrosine phosphatase, 7(PTPN7)",Gallus gallus,
395910,"peptidyl arginine deiminase, PADI3)",Gallus gallus,
101751111,uncharacterized LOC101751111(LOC101751111),Gallus gallus,
101750437,uncharacterized LOC101750437(LOC101750437),Gallus gallus,
428684,Usher syndrome 1G (autosomal recessive)(USH1G),Gallus gallus,
408043,laminin 2(LAMC2),Gallus gallus,
378914,cyclin-dependent kinase inhibitor 1A(CDKN1A),Gallus gallus,
101748987,FCH domain only protein 1-like(LOC101748987),Gallus gallus,
100858796,sestrin-2-like(LOC100858796),Gallus gallus,
414340,avian beta-defensin 5(AvBD5),Gallus gallus,
107050559,fructose-bisphosphate aldolase A-like(LOC107050559),Gallus gallus,
101752332,uncharacterized LOC101752332(LOC101752332),Gallus gallus,
107057295,protein MANBAL-like(LOC107057295),Gallus gallus,
425000,golgi integral membrane protein 4(GOLIM4),Gallus gallus,
107049580,bolA-like protein 1(LOC107049580),Gallus gallus,
107054311,uncharacterized LOC107054311(LOC107054311),Gallus gallus,
107050802,vasodilator-stimulated phosphoprotein-like(LOC107050802),Gallus gallus,
417616,solute carrier family 47 2(SLC47A2),Gallus gallus,
396491,lectin galactoside-binding,Gallus gallus,
396490,transgelin(TAGLN),Gallus gallus,
107053495,uncharacterized LOC107053495(LOC107053495),Gallus gallus,
418971,ELMO/CED-12 domain containing 1(ELMOD1),Gallus gallus,
378934,glycogen synthase 1 (muscle)(GYS1),Gallus gallus,
396215,myosin,Gallus gallus,
395942,paired box 7(PAX7),Gallus gallus,
395863,hematopoietic prostaglandin D synthase(HPGDS),Gallus gallus,
416746,CDC42 binding protein kinase alpha (DMPK-like)(CDC42BPA),Gallus gallus,
420748,uncharacterized LOC420748(LOC420748),Gallus gallus,
395159,Schwann cell-specific EGF-like repeat autocrine factor(LOC395159),Gallus gallus,
777552,bridging integrator 2(BIN2),Gallus gallus,
101747939,phosphatidylethanolamine binding protein 4(PEBP4),Gallus gallus,
100858937,protocadherin gamma-A10-like(LOC100858937),Gallus gallus,
107056270,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like(LOC107056270),Gallus gallus,
418109,cystine/glutamate transporter-like(LOC418109),Gallus gallus,
101748691,uncharacterized LOC101748691(LOC101748691),Gallus gallus,
101748212,peripherin-like(LOC101748212),Gallus gallus,
424867,protein C receptor(PROCR),Gallus gallus,
107052868,uncharacterized LOC107052868(LOC107052868),Gallus gallus,
107049603,protein fosB-like(LOC107049603),Gallus gallus,
107056106,uncharacterized LOC107056106(LOC107056106),Gallus gallus,
420490,prenyl (decaprenyl) diphosphate synthase 1(PDSS1),Gallus gallus,
100858920,synaptophysin like 2(SYPL2),Gallus gallus,
101748677,chromosome 12 open reading frame 40(C12orf40),Gallus gallus,
418092,PARP1 binding protein(PARPBP),Gallus gallus,
100857954,macrophage expressed 1(MPEG1),Gallus gallus,
419167,solute carrier family 32 (GABA vesicular transporter) 1(SLC32A1),Gallus gallus,
107057474,sperm-associated antigen 4 protein-like(LOC107057474),Gallus gallus,
427960,guanylate cyclase activator 1C(GUCA1C),Gallus gallus,
396317,alkaline phosphatase,Gallus gallus,
101752044,slingshot protein phosphatase 3(SSH3),Gallus gallus,
419160,protein tyrosine phosphatase,Gallus gallus,
396311,ankyrin 1 erythrocytic(ANK1),Gallus gallus,
415988,sushi domain containing 3(SUSD3),Gallus gallus,
425211,dual adaptor of phosphotyrosine and 3-phosphoinositides(DAPP1),Gallus gallus,
107054855,corticoliberin-like(LOC107054855),Gallus gallus,
101752310,chromosome 1 open reading frame 186(C1orf186),Gallus gallus,
769944,mature T-cell proliferation 1 neighbor(MTCP1NB),Gallus gallus,
100857507,"cyclin-dependent kinase 5,  regulatory subunit 2 (p39)(CDK5R2)",Gallus gallus,
422177,interferon lambda receptor 1-like(LOC422177),Gallus gallus,
418909,klotho(KL),Gallus gallus,
396298,T-cell acute lymphocytic leukemia 1(TAL1),Gallus gallus,
425457,myosin binding protein C,Gallus gallus,
771808,pipecolic acid oxidase(PIPOX),Gallus gallus,
107057031,beta-1 3-N-acetylglucosaminyltransferase lunatic fringe-like(LOC107057031),Gallus gallus,
421944,growth regulation by estrogen in breast cancer 1(GREB1),Gallus gallus,
107051568,uncharacterized LOC107051568(LOC107051568),Gallus gallus,
424577,Kruppel-like factor 1 (erythroid)(KLF-4),Gallus gallus,
373956,adenosine A3 receptor(ADORA3),Gallus gallus,
107052550,uncharacterized LOC107052550(LOC107052550),Gallus gallus,
396037,NK2 homeobox 6(NKX2-6),Gallus gallus,
771972,uncharacterized LOC771972(LOC771972),Gallus gallus,
107049202,heterogeneous nuclear ribonucleoprotein U like 1(HNRNPUL1),Gallus gallus,
424701,Tctex1 domain containing 1(TCTEX1D1),Gallus gallus,
418175,serine/threonine kinase receptor associated protein(STRAP),Gallus gallus,
107049214,uncharacterized LOC107049214(LOC107049214),Gallus gallus,
101751257,RING finger protein 39-like(LOC101751257),Gallus gallus,
107052076,uncharacterized LOC107052076(LOC107052076),Gallus gallus,
107053868,uncharacterized LOC107053868(LOC107053868),Gallus gallus,
768392,uncharacterized LOC768392(LOC768392),Gallus gallus,
107051128,cGMP-dependent 3',Gallus gallus,
107049186,protein NDNF-like(LOC107049186),Gallus gallus,
107052088,uncharacterized LOC107052088(LOC107052088),Gallus gallus,
100858988,HSPA (heat shock 70kDa) binding protein  cytoplasmic cochaperone 1(HSPBP1),Gallus gallus,
776127,adenylosuccinate synthase like 1(ADSSL1),Gallus gallus,
100857309,solute carrier family 38 member 8(SLC38A8),Gallus gallus,
420060,NADH:ubiquinone oxidoreductase subunit A11(NDUFA11),Gallus gallus,
416652,hemoglobin alpha,Gallus gallus,
101748127,uncharacterized LOC101748127(LOC101748127),Gallus gallus,
416655,uncharacterized LOC416655(LOC416655),Gallus gallus,
427752,prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)(PTGS1),Gallus gallus,
421015,chromosome 18 open reading frame 63(C18orf63),Gallus gallus,
423216,leukocyte receptor tyrosine kinase(LTK),Gallus gallus,
417868,E2F transcription factor 7(E2F7),Gallus gallus,
100857843,heterogeneous nuclear ribonucleoprotein C-like(LOC100857843),Gallus gallus,
395293,slit homolog 1 (Drosophila)(SLIT1),Gallus gallus,
417738,Mov10l1  Moloney leukemia virus 10-like 1,Gallus gallus,
107051622,uncharacterized LOC107051622(LOC107051622),Gallus gallus,
418413,Holliday junction recognition protein(HJURP),Gallus gallus,
107056611,transmembrane protein 237-like(LOC107056611),Gallus gallus,
107056612,kalirin-like(LOC107056612),Gallus gallus,
107053360,cyclin-dependent kinase 2 associated protein 2(CDK2AP2),Gallus gallus,
101749321,uncharacterized LOC101749321(LOC101749321),Gallus gallus,
420996,nuclear receptor subfamily 4,Gallus gallus,
422003,PDZ binding kinase(PBK),Gallus gallus,
395814,fibromodulin(FMOD),Gallus gallus,
431596,ankyrin repeat and death domain containing 1B(ANKDD1B),Gallus gallus,
396084,actin,Gallus gallus,
107052594,uncharacterized LOC107052594(LOC107052594),Gallus gallus,
100858410,lipid phosphate phosphatase-related protein type 3(LPPR3),Gallus gallus,
107051875,uncharacterized LOC107051875(LOC107051875),Gallus gallus,
417881,solute carrier family 6 (neutral amino acid transporter)  member 15(SLC6A15),Gallus gallus,
424433,bone morphogenetic protein/retinoic acid inducible neural-specific 2(BRINP2),Gallus gallus,
107054182,uncharacterized LOC107054182(LOC107054182),Gallus gallus,
,,,
,,,
